country,iso_code,year,ann_income_pc_growth_pct,gdp_pc_usd,life_expectancy_years,population_total,gdp_pc_rank,population_rank,ann_income_pc_growth_pct_rolling_3yr,gdp_pc_usd_yoy_pct,life_expectancy_years_yoy_pct,population_total_yoy_pct
Germany,DEU,2019,0.726939638167096,47623.8656074829,81.2926829268293,83092962,5.0,5.0,1.309836487832832,-2.5595856603734535,0.4944823011517885,0.2257743615517782
Germany,DEU,2020,-4.77153153809168,47379.765194548,81.0414634146342,83160871,5.0,5.0,-0.9255109631718447,-0.5125590075924835,-0.30903090309029047,0.08172653659885842
Germany,DEU,2021,2.50285421951435,52265.6541620571,80.790243902439,83196078,5.0,5.0,-0.5139125601367448,10.312184848208815,-0.30998886447777263,0.04233601641809859
Germany,DEU,2022,2.50285421951435,49686.1154582583,80.6080487804878,83797985,5.0,5.0,0.0780589669790066,-4.935437516577479,-0.22551624199973475,0.7234800178921974
Germany,DEU,2023,2.50285421951435,53940.4073447462,80.5414634146342,83901923,5.0,5.0,2.50285421951435,8.562335467867221,-0.0826038675553864,0.124034008693652
Germany,DEU,2024,2.50285421951435,55800.2194549412,80.5414634146342,83510950,5.0,5.0,2.50285421951435,3.4479014930467455,0.0,-0.46598812759035546
Italy,ITA,2015,0.955588889397944,30639.8829751432,82.5439024390244,60229605,9.0,8.0,0.955588889397944,,,
Italy,ITA,2016,3.84349470653598,31391.5692898108,83.2439024390244,60115223,9.0,8.0,2.399541797966962,2.4532936867853294,0.8480335667641725,-0.18990992884645452
Italy,ITA,2017,1.83816590757996,32844.115660604,82.9463414634147,60002252,9.0,8.0,2.2124165011712944,4.627186227560398,-0.3574567828888875,-0.18792411366418404
Italy,ITA,2018,1.19018990320427,34904.1081923834,83.3463414634146,60148658,9.0,8.0,2.2906168391067365,6.272029221509312,0.4822394730650492,0.2440008418350681
Italy,ITA,2019,0.914853921636364,33812.788724868,83.4975609756098,59729081,9.0,8.0,1.314403244140198,-3.126621833453813,0.18143509305874606,-0.6975666855277174
Italy,ITA,2020,-9.0016933631078,32091.4866621366,82.1951219512195,59438851,9.0,8.0,-2.2988831794223885,-5.090683518409245,-1.5598527779401183,-0.48591070738222
Italy,ITA,2021,6.7474771304898,36852.5425414951,82.6463414634146,59133173,9.0,8.0,-0.4464541036605449,14.835884449615943,0.5489614243323171,-0.5142730635893322
Italy,ITA,2022,6.7474771304898,35653.9042103495,82.7,59013667,9.0,8.0,1.4977536326239338,-3.2525254663120284,0.06492548325223169,-0.20209637659728275
Italy,ITA,2023,6.7474771304898,39065.4244365633,83.7,58993475,9.0,8.0,6.7474771304898,9.568433813269483,1.2091898428053138,-0.03421580292578552
Italy,ITA,2024,6.7474771304898,40226.0472416173,83.7,58986023,9.0,8.0,6.7474771304898,2.970971957411317,0.0,-0.012631905477678007
"Korea, Rep.",KOR,2015,5.31438201700981,28737.4391706499,82.0243902439024,51014947,10.0,9.0,5.31438201700981,,,
"Korea, Rep.",KOR,2016,3.72508920924051,29280.4403170048,82.2756097560976,51217803,10.0,9.0,4.51973561312516,1.8895251700418614,0.30627415997630525,0.3976403229430048
"Korea, Rep.",KOR,2017,3.30557229901632,31600.7358741365,82.6268292682927,51361911,10.0,9.0,4.115014508422213,7.924387516072207,0.4268816885542037,0.2813631033724784
"Korea, Rep.",KOR,2018,0.615888135460779,33447.1562836166,82.6268292682927,51585058,10.0,9.0,2.548849881239203,5.8429664955723215,0.0,0.43446008073959597
"Korea, Rep.",KOR,2019,-1.12225964796505,31902.4169048194,83.2268292682927,51764822,10.0,9.0,0.9330669288373498,-4.618447576524931,0.7261563892906775,0.3484807558033598
"Korea, Rep.",KOR,2020,-1.37854553150645,31721.2989141857,83.4268292682927,51836239,10.0,9.0,-0.628305681336907,-0.5677249820101871,0.24030712422706824,0.1379643496117966
"Korea, Rep.",KOR,2021,3.25852998449514,35125.5224984723,83.5268292682927,51769539,10.0,9.0,0.2525749350078799,10.73166516130346,0.11986551673730528,-0.12867445880863082
"Korea, Rep.",KOR,2022,3.25852998449514,32394.6833725203,82.6804878048781,51672569,10.0,9.0,1.7128381458279431,-7.77451531452884,-1.0132570227179394,-0.1873109204236889
"Korea, Rep.",KOR,2023,3.25852998449514,33121.3712885508,83.4292682926829,51712619,10.0,9.0,3.25852998449514,2.2432320380292303,0.9056314345555094,0.07750727470121621
"Korea, Rep.",KOR,2024,3.25852998449514,33121.3712885508,83.4292682926829,51751065,10.0,9.0,3.25852998449514,0.0,0.0,0.07434549002440782
Pakistan,PAK,2015,3.90330429189187,1380.47020838317,65.641,217290883,13.0,4.0,3.90330429189187,,,
Pakistan,PAK,2016,18.4566552663783,1424.69161195897,65.943,220138869,13.0,4.0,11.179979779135085,3.2033580520069993,0.4600783047180812,1.310679012703897
Pakistan,PAK,2017,3.59469903673697,1519.23459514248,66.223,223273967,13.0,4.0,8.65155286500238,6.636031432340084,0.4246091321292722,1.4241455923896806
Pakistan,PAK,2018,4.07954355923709,1569.33814626355,66.481,226928892,13.0,4.0,8.710299287450786,3.2979469583741983,0.389592739682576,1.636968720137455
Pakistan,PAK,2019,1.04037439162519,1390.41690981745,66.729,230800899,13.0,4.0,2.90487232919975,-11.40106336369221,0.3730389133737466,1.7062644451637299
Pakistan,PAK,2020,-2.13558920015436,1278.39735206896,65.701,235001746,13.0,4.0,0.9947762502359732,-8.056544548440314,-1.540559576795708,1.8201172604618066
Pakistan,PAK,2021,5.84747033829215,1455.31922370186,65.773,239477801,13.0,4.0,1.58408517658766,13.839349037024329,0.10958737309934019,1.904690103876927
Pakistan,PAK,2022,5.84747033829215,1538.3228133171,67.417,243700667,13.0,4.0,3.1864504921433134,5.703462736107201,2.499505876271435,1.7633642794306459
