country,iso_code,year,ann_income_pc_growth_pct,gdp_pc_usd,life_expectancy_years,population_total
Pakistan,PAK,2020,-2.13558920015436,1278.39735206896,65.701,235001746
Pakistan,PAK,2021,5.84747033829215,1455.31922370186,65.773,239477801
Pakistan,PAK,2022,5.84747033829215,1538.3228133171,67.417,243700667
Pakistan,PAK,2023,5.84747033829215,1365.16927410976,67.649,247504495
Pakistan,PAK,2024,5.84747033829215,1484.74985864775,67.649,251269164
Qatar,QAT,2015,1.95889713144204,68985.2946961507,81.785,2344557
Qatar,QAT,2016,1.95889713144204,61253.6375482797,82.147,2477113
Qatar,QAT,2017,1.95889713144204,63279.8556949332,82.458,2545820
Qatar,QAT,2018,5.73136988731264,71039.8490579352,82.714,2580734
Qatar,QAT,2019,-5.60434945469027,66841.3013484919,82.945,2638657
Qatar,QAT,2020,-17.0638679523866,51683.5054376677,80.409,2794148
Qatar,QAT,2021,-17.0638679523866,71751.8831257169,81.083,2504910
Qatar,QAT,2022,-17.0638679523866,88701.463352273,81.857,2657333
Qatar,QAT,2023,-17.0638679523866,80195.8746508549,82.368,2656032
Qatar,QAT,2024,-17.0638679523866,76275.9076782833,82.368,2857822
South Africa,ZAF,2015,1.98685252635194,6112.27382485974,64.053,56723537
South Africa,ZAF,2016,-1.15261247593816,5651.20585165749,64.749,57259551
South Africa,ZAF,2017,1.74306598204741,6618.33508255701,65.422,57635162
South Africa,ZAF,2018,-0.979636158022487,6914.1780318076,65.726,58613001
South Africa,ZAF,2019,-0.420354614733668,6533.71121032856,66.071,59587885
South Africa,ZAF,2020,-6.11562654457376,5580.60383075189,65.15,60562381
South Africa,ZAF,2021,5.20238575878456,6843.39941886204,62.01,61502603
South Africa,ZAF,2022,5.20238575878456,6523.41097815853,65.454,62378410
South Africa,ZAF,2023,5.20238575878456,6022.54254192335,66.139,63212384
South Africa,ZAF,2024,5.20238575878456,6253.37158194543,66.139,64007187
United Kingdom,GBR,2015,2.21163461645541,44983.885522934,80.9560975609756,65088000
United Kingdom,GBR,2016,0.999039655475499,40988.1044233026,81.1560975609756,65607000
United Kingdom,GBR,2017,2.56353788470611,40629.2340347345,81.2560975609756,65966000
United Kingdom,GBR,2018,0.339850376019996,43315.4874501318,81.2560975609756,66289000
United Kingdom,GBR,2019,0.339850376019996,42794.0022648288,81.3691219512195,66631000
United Kingdom,GBR,2020,0.339850376019996,40404.8062238951,80.331756097561,66744000
United Kingdom,GBR,2021,0.339850376019996,46926.475736105,80.6473170731707,66984000
United Kingdom,GBR,2022,0.339850376019996,46062.9914079698,81.0112195121951,67604000
United Kingdom,GBR,2023,0.339850376019996,49200.8101526146,81.2380975609756,68492000
United Kingdom,GBR,2024,0.339850376019996,52636.7865943853,81.2380975609756,69226000
United States,USA,2015,2.95507621184076,56849.4697923159,78.690243902439,321815121
United States,USA,2016,-0.248145130206083,57976.628204291,78.5390243902439,324353340
United States,USA,2017,1.98443719531898,60047.7190728307,78.5390243902439,326608609
United States,USA,2018,2.4035674513206,62875.6661382728,78.6390243902439,328529577
United States,USA,2019,1.83884113502309,65227.9565911038,78.7878048780488,330226227
United States,USA,2020,-4.30381651287594,64401.5074354212,76.9804878048781,331577720
United States,USA,2021,5.33686657523864,71307.4017277218,76.3292682926829,332099760
United States,USA,2022,5.33686657523864,77860.9112908848,77.4341463414634,334017321
United States,USA,2023,5.33686657523864,82304.6204272866,78.3853658536585,336806231
United States,USA,2024,5.33686657523864,85809.9003846356,78.3853658536585,340110988
